abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,latitude,livingArea (sqft),longitude,lotSize,price,yearBuilt,zestimate
13815 SE Tenino St,Portland,97236,3,4,332,528875,45.46374512,2878,-122.52388,13939,528875,1999,600400
2835 SE 52nd Ave,Portland,97206,2,2,129,492500,45.50197983,1222,-122.6093216,4356,492500,1925,520900
8021 SE 140th Dr,Portland,97236,3,3,333,550000,45.46487045,3701,-122.5202713,8712,550000,1991,624500
3116 SE 67th Ave,Portland,97206,2,3,129,483200,45.5001297,1096,-122.593811,10890,483200,1978,593900
13915 SE Tenino St,Portland,97236,4,5,334,545000,45.46372986,3820,-122.5201797,7840,545000,2007,619000
4224 SW Condor Ave,Portland,97239,3,4,129,625000,45.49278259,2307,-122.6790009,4791,625000,1892,661100
15739 SE Flavel Dr,Portland,97236,3,3,334,500000,45.46881104,2681,-122.5000839,6534,500000,2000,567900
1813 SE 21st Ave,Portland,97214,1,3,126,553000,45.51012421,3238,-122.6444244,4791,553000,1925,800600
16250 SE Tibbetts St,Portland,97236,3,5,335,550000,45.49980164,2584,-122.4957123,10454,550000,1962,624900
16814 SE Johnston Dr,Portland,97236,2,3,341,493300,45.47584152,2115,-122.4899063,10018,493300,2005,561500
3219 SE Francis St,Portland,97202,1,3,126,513000,45.49499893,2198,-122.6322479,4791,513000,1921,541900
17124 SE Johnston Dr,Portland,97236,3,4,346,555000,45.4758606,2980,-122.487648,10018,555000,2007,632600
1436 SE Rex St,Portland,97202,2,3,125,630000,45.46989822,2220,-122.6508865,4791,630000,1926,665200
16441 SE High Meadow Loop,Portland,97236,2.5,5,346,499000,45.48912048,2620,-122.4941559,8106,499000,2000,568800
5027 SE Insley St,Portland,97206,2,4,129,500000,45.48355484,1672,-122.610466,5291,500000,1944,528900
15215 SE Flavel St,Portland,97236,3,5,355,524000,45.46912766,2701,-122.5066605,12632,524000,2019,598800
1223 SE 15th Ave,Portland,97214,2,3,125,528316,45.51391602,2840,-122.6508408,2613,528316,1905,723600
15823 SE Bybee Dr,Portland,97236,4,5,360,625000,45.47048569,3889,-122.499115,7840,625000,2000,715300
17140 SE Manley St,Portland,97236,3,3,361,549220,45.47785187,2714,-122.4864349,10018,549220,2001,628800
7106 SE Raymond Ct,Portland,97206,3,3,124,509000,45.48604965,1985,-122.5902481,4791,509000,1906,537200
4411 SE Division St,Portland,97206,1,2,124,490000,45.50550079,1140,-122.6167755,3920,490000,1923,517100
2825 SE 66th Ave,Portland,97206,2,3,123,580000,45.50188446,1550,-122.5958786,6900,580000,1949,611900
5439 SE Woodstock Blvd,Portland,97206,2.5,,123,609000,45.47943878,2348,-122.6066284,2401,609000,2009,670700
6705 SE 20th Ave,Portland,97202,2,3,123,588000,45.47518539,1804,-122.645195,4791,588000,1925,620300
5732 SE 134th Pl,Portland,97236,3,3,77,481500,45.48056793,1647,-122.5252686,3049,481500,2020,497500
7827 SE Tolman St,Portland,97206,2,3,122,480000,45.47776794,2312,-122.5826035,4791,480000,1922,506200
7425 SE Market St,Portland,97215,2,3,123,647500,45.51111603,2170,-122.5864105,4791,647500,1928,683100
5227 SE 72nd Ave,Portland,97206,4,3,122,519900,45.48519135,1796,-122.5894547,1742,519900,2020,548200
